sales_date,store_id,sku_id,sold_quantity
2026-08-18,STORE-GANGNAM,SKU-CAP-BLACK-FREE,4
2026-08-19,STORE-GANGNAM,SKU-CAP-BLACK-FREE,4
2026-08-20,STORE-GANGNAM,SKU-CAP-BLACK-FREE,4
2026-08-21,STORE-GANGNAM,SKU-CAP-BLACK-FREE,4
2026-08-22,STORE-GANGNAM,SKU-CAP-BLACK-FREE,4
2026-08-23,STORE-GANGNAM,SKU-CAP-BLACK-FREE,4
2026-08-24,STORE-GANGNAM,SKU-CAP-BLACK-FREE,4
2026-08-18,STORE-HONGDAE,SKU-CAP-BLACK-FREE,1
2026-08-19,STORE-HONGDAE,SKU-CAP-BLACK-FREE,0
2026-08-20,STORE-HONGDAE,SKU-CAP-BLACK-FREE,1
2026-08-21,STORE-HONGDAE,SKU-CAP-BLACK-FREE,0
2026-08-22,STORE-HONGDAE,SKU-CAP-BLACK-FREE,1
2026-08-23,STORE-HONGDAE,SKU-CAP-BLACK-FREE,0
2026-08-24,STORE-HONGDAE,SKU-CAP-BLACK-FREE,1
2026-08-18,STORE-SEONGSU,SKU-CAP-BLACK-FREE,1
2026-08-19,STORE-SEONGSU,SKU-CAP-BLACK-FREE,2
2026-08-20,STORE-SEONGSU,SKU-CAP-BLACK-FREE,1
2026-08-21,STORE-SEONGSU,SKU-CAP-BLACK-FREE,1
2026-08-22,STORE-SEONGSU,SKU-CAP-BLACK-FREE,2
2026-08-23,STORE-SEONGSU,SKU-CAP-BLACK-FREE,1
2026-08-24,STORE-SEONGSU,SKU-CAP-BLACK-FREE,1
